Custo Calculado,  R$ 10831654.833377006 
Fabrica, Produto, Quantidade(TON),Centro de Distribuição 
Fabrica_Jaguapitã-PR,Familia_AVES SEPARADO,899.8928999999982,CentroDistribuição_Ponta Porã MS 
Fabrica_Jaguapitã-PR,Familia_AVES PEITO,101.75400000000104,CentroDistribuição_Confresa - MT 
Fabrica_Jaguapitã-PR,Familia_AVES COXA,116.22499999999991,CentroDistribuição_Barra do Garças - MT 
Fabrica_Jaguapitã-PR,Familia_AVES PEITO,500.115,CentroDistribuição_Barra do Garças - MT 
Fabrica_Jaguapitã-PR,Familia_AVES COXA,2843.113,CentroDistribuição_Pedra Preta - MT 
Fabrica_Jaguapitã-PR,Familia_AVES SEPARADO,341.8071000000018,CentroDistribuição_Pedra Preta - MT 
Fabrica_Jaguapitã-PR,Familia_AVES ASA,285.84,CentroDistribuição_Pedra Preta - MT 
Fabrica_Jaguapitã-PR,Familia_AVES COXA,259.404,CentroDistribuição_Porto Velho RO 
Fabrica_Jaguapitã-PR,Familia_AVES COXA,390.97800000000007,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,340.3432,CentroDistribuição_Alta Floresta - MT 
Fabrica_Rolândia-PR,Familia_AVES COXA,1511.68,CentroDistribuição_Brasília - DF 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,322.0044,CentroDistribuição_Brasília - DF 
Fabrica_Rolândia-PR,Familia_AVES ASA,26.535,CentroDistribuição_Brasília - DF 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,328.785,CentroDistribuição_Cajamar - SP 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,1402.0307,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Rolândia-PR,Familia_AVES PEITO,705.12,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Rolândia-PR,Familia_AVES FILE,40.185,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,55.98,CentroDistribuição_Araputanga - MT 
Fabrica_Rolândia-PR,Familia_AVES COXA,1026.42,CentroDistribuição_Confresa - MT 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,365.975,CentroDistribuição_Confresa - MT 
Fabrica_Rolândia-PR,Familia_AVES ASA,81.99,CentroDistribuição_Confresa - MT 
Fabrica_Rolândia-PR,Familia_AVES COXA,1019.2530000000002,CentroDistribuição_Barra do Garças - MT 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,795.7425,CentroDistribuição_Barra do Garças - MT 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,2341.2405999999983,CentroDistribuição_Pedra Preta - MT 
Fabrica_Rolândia-PR,Familia_AVES ASA,854.3729999999998,CentroDistribuição_Pedra Preta - MT 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,54.06,CentroDistribuição_Pontes e Lacerda - MT 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,46.8776,CentroDistribuição_Cascavel - CE 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,163.71,CentroDistribuição_Porto Velho RO 
Fabrica_Rolândia-PR,Familia_AVES COXA,736.164,CentroDistribuição_Aparecida de Goiania GO 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,435.8755,CentroDistribuição_Aparecida de Goiania GO 
Fabrica_Rolândia-PR,Familia_AVES PEITO,594.51,CentroDistribuição_Aparecida de Goiania GO 
Fabrica_Rolândia-PR,Familia_AVES ASA,384.78,CentroDistribuição_Aparecida de Goiania GO 
Fabrica_Rolândia-PR,Familia_AVES FILE,81.0,CentroDistribuição_Aparecida de Goiania GO 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,136.053,CentroDistribuição_Maceió - AL 
Fabrica_Rolândia-PR,Familia_AVES PEITO,71.745,CentroDistribuição_Maceió - AL 
Fabrica_Rolândia-PR,Familia_AVES COXA,1096.738,CentroDistribuição_Caucaia - CE 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,231.975,CentroDistribuição_Caucaia - CE 
Fabrica_Rolândia-PR,Familia_AVES ASA,286.593,CentroDistribuição_Caucaia - CE 
Fabrica_Rolândia-PR,Familia_AVES COXA,1023.604,CentroDistribuição_Simões Filho - BA 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,53.916,CentroDistribuição_Simões Filho - BA 
Fabrica_Rolândia-PR,Familia_AVES PEITO,244.986,CentroDistribuição_Simões Filho - BA 
Fabrica_Rolândia-PR,Familia_AVES ASA,81.0,CentroDistribuição_Simões Filho - BA 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,252.5055000000002,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Rolândia-PR,Familia_AVES COXA,527.979,CentroDistribuição_Goiania - GO 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,1029.1825,CentroDistribuição_Goiania - GO 
Fabrica_Rolândia-PR,Familia_AVES PEITO,412.65,CentroDistribuição_Goiania - GO 
Fabrica_Rolândia-PR,Familia_AVES ASA,50.529,CentroDistribuição_Goiania - GO 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,77.94,CentroDistribuição_Juara - MT 
Fabrica_Rolândia-PR,Familia_AVES COXA,352.00199999999927,CentroDistribuição_Vilhena - RO 
Fabrica_Rolândia-PR,Familia_AVES SEPARADO,830.2235,CentroDistribuição_Vilhena - RO 
Fabrica_Rolândia-PR,Familia_AVES ASA,179.73000000000002,CentroDistribuição_Vilhena - RO 
Fabrica_Itapiranga-SC,Familia_AVES COXA,737.955,CentroDistribuição_Ponta Porã MS 
Fabrica_Itapiranga-SC,Familia_AVES SEPARADO,9.374300000001767,CentroDistribuição_Ponta Porã MS 
Fabrica_Itapiranga-SC,Familia_AVES ASA,337.215,CentroDistribuição_Ponta Porã MS 
Fabrica_Itapiranga-SC,Familia_AVES ASA,134.868,CentroDistribuição_Porto Velho RO 
Fabrica_Itapiranga-SC,Familia_AVES COXA,912.531,CentroDistribuição_Juara - MT 
Fabrica_Itapiranga-SC,Familia_AVES COXA,424.6110000000008,CentroDistribuição_Vilhena - RO 
Fabrica_Itapiranga-SC,Familia_AVES ASA,121.16399999999999,CentroDistribuição_Vilhena - RO 
Fabrica_Seara-SC,Familia_SUINO SEPARADO,136.161,CentroDistribuição_Cajamar - SP 
Fabrica_Seara-SC,Familia_SUINO COSTELA,840.50555,CentroDistribuição_Cajamar - SP 
Fabrica_Seara-SC,Familia_SUINO PALETA,1260.34192,CentroDistribuição_Cajamar - SP 
Fabrica_Seara-SC,Familia_SUINO BARRIGA,659.31874,CentroDistribuição_Cajamar - SP 
Fabrica_Seara-SC,Familia_SUINO PERNIL,1565.79441,CentroDistribuição_Cajamar - SP 
Fabrica_Seara-SC,Familia_SUINO FILE,4.986,CentroDistribuição_Cajamar - SP 
Fabrica_Seara-SC,Familia_SUINO SEPARADO,27.99,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Seara-SC,Familia_SUINO PERNIL,167.78434,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Seara-SC,Familia_SUINO OSSO,45.99,CentroDistribuição_Diamantino - MT 
Fabrica_Seara-SC,Familia_SUINO SEPARADO,393.25,CentroDistribuição_Anhenguera - SP 1 
Fabrica_Seara-SC,Familia_SUINO COSTELA,128.452,CentroDistribuição_Anhenguera - SP 1 
Fabrica_Seara-SC,Familia_SUINO PERNIL,111.13887,CentroDistribuição_Anhenguera - SP 1 
Fabrica_Seara-SC,Familia_SUINO SEPARADO,74.31199999999998,CentroDistribuição_Osasco - SP 
Fabrica_Seara-SC,Familia_SUINO COSTELA,267.386,CentroDistribuição_Osasco - SP 
Fabrica_Tangara-SC,Familia_SUINO PALETA,241.31709000000004,CentroDistribuição_Cajamar - SP 
Fabrica_Tangara-SC,Familia_SUINO PALETA,185.28291,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Tangara-SC,Familia_SUINO SEPARADO,81.9,CentroDistribuição_Osasco - SP 
Fabrica_Tangara-SC,Familia_SUINO DORSO,132.0,CentroDistribuição_Itaitinga - CE 
Fabrica_Dourados-MS,Familia_SUINO SEPARADO,675.386,CentroDistribuição_Ponta Porã MS 
Fabrica_Dourados-MS,Familia_SUINO COSTELA,361.01731,CentroDistribuição_Ponta Porã MS 
Fabrica_Dourados-MS,Familia_SUINO PALETA,694.71428,CentroDistribuição_Ponta Porã MS 
Fabrica_Dourados-MS,Familia_SUINO BARRIGA,125.19203,CentroDistribuição_Ponta Porã MS 
Fabrica_Dourados-MS,Familia_SUINO PERNIL,315.82906,CentroDistribuição_Ponta Porã MS 
Fabrica_Dourados-MS,Familia_SUINO PALETA,106.23239,CentroDistribuição_Diamantino - MT 
Fabrica_Dourados-MS,Familia_SUINO PERNIL,146.04677,CentroDistribuição_Diamantino - MT 
Fabrica_Dourados-MS,Familia_SUINO SEPARADO,291.475,CentroDistribuição_Araputanga - MT 
Fabrica_Dourados-MS,Familia_SUINO COSTELA,218.632,CentroDistribuição_Araputanga - MT 
Fabrica_Dourados-MS,Familia_SUINO PALETA,27.98512,CentroDistribuição_Araputanga - MT 
Fabrica_Dourados-MS,Familia_SUINO PERNIL,54.98834,CentroDistribuição_Araputanga - MT 
Fabrica_Dourados-MS,Familia_SUINO COSTELA,73.43656,CentroDistribuição_Confresa - MT 
Fabrica_Dourados-MS,Familia_SUINO PALETA,73.44236,CentroDistribuição_Confresa - MT 
Fabrica_Dourados-MS,Familia_SUINO PALETA,96.42,CentroDistribuição_Barra do Garças - MT 
Fabrica_Dourados-MS,Familia_SUINO SEPARADO,77.445,CentroDistribuição_Porto Velho RO 
Fabrica_Dourados-MS,Familia_SUINO SEPARADO,82.98,CentroDistribuição_Itaitinga - CE 
Fabrica_Forquilhinha-SC,Familia_AVES COXA,306.396,CentroDistribuição_Cajamar - SP 
Fabrica_Forquilhinha-SC,Familia_AVES ASA,80.775,CentroDistribuição_Cajamar - SP 
Fabrica_Forquilhinha-SC,Familia_AVES COXA,2068.464,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Forquilhinha-SC,Familia_AVES ASA,447.246,CentroDistribuição_Anhenguera - SP 2 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,430.605,CentroDistribuição_Ponta Porã MS 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,54.09,CentroDistribuição_Ponta Porã MS 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,687.185999999999,CentroDistribuição_Confresa - MT 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,107.4,CentroDistribuição_Confresa - MT 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,1650.18,CentroDistribuição_Pedra Preta - MT 
Fabrica_Sidrolandia-MS,Familia_AVES ASA,10.31100000000015,CentroDistribuição_Pedra Preta - MT 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,161.25,CentroDistribuição_Pedra Preta - MT 
Fabrica_Sidrolandia-MS,Familia_AVES SEPARADO,174.4072,CentroDistribuição_Pimenta Bueno - RO 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,109.83,CentroDistribuição_Porto Velho RO 
Fabrica_Sidrolandia-MS,Familia_AVES COXA,3808.62,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES SEPARADO,3091.2428,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,2697.579,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES ASA,1496.379,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,328.56492,CentroDistribuição_São Miguel do Guaporé - RO 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,665.52,CentroDistribuição_Juara - MT 
Fabrica_Sidrolandia-MS,Familia_AVES PEITO,756.81,CentroDistribuição_Vilhena - RO 
Fabrica_Sidrolandia-MS,Familia_AVES FILE,50.19,CentroDistribuição_Vilhena - RO 
